"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"FBgn0000064"	7186.88220385508	4.07475964386186	0.145088332249113	28.0846817982966	1.50721827102146e-173	3.8023649668234e-172
"FBgn0000071"	22.3555256250093	-7.41238033224658	1.22488393401913	-6.05149608577593	1.43506772612747e-09	3.96469739143752e-09
"FBgn0000075"	1.65314794121473	0.453298183889925	1.39218923934256	0.325600982308978	0.744726268889411	0.782863344161697
"FBgn0000077"	42.5888404847294	0.466567500801674	0.291474293253681	1.60071578043283	0.109439884378827	0.146105644399907
"FBgn0000078"	0	NA	NA	NA	NA	NA
"FBgn0000079"	0	NA	NA	NA	NA	NA
"FBgn0000083"	56.1623699554097	-2.20955415367145	0.334292889081147	-6.60963551975254	3.85267391210352e-11	1.14662660020428e-10
"FBgn0000084"	175.215856084354	3.26362198779168	0.232275210705501	14.0506685060318	7.63102679670928e-45	5.14818863680067e-44
"FBgn0000092"	7.15404047302396	-2.70292058642796	0.930615878044668	-2.90444279986617	0.00367907422624657	0.00630204187272424
"FBgn0000094"	0	NA	NA	NA	NA	NA
"FBgn0000097"	1074.01194590883	-0.648430314031435	0.111537197554239	-5.81357904134282	6.11510773536381e-09	1.63969717644598e-08
"FBgn0000100"	2932.52617877939	-1.1620822765647	0.10509246422419	-11.0577127022702	2.01162006323917e-28	9.9856262446334e-28
"FBgn0000108"	49662.3315583063	1.82673839399123	0.146024636280659	12.5097958845811	6.59935864919156e-36	3.84616634505758e-35
"FBgn0000109"	12.4971898523826	-0.7025799944137	0.569720755185977	-1.233200630341	0.217500920274921	0.270792677269993
"FBgn0000114"	1660.85185184949	0.543133625429895	0.131742739113411	4.12268356559931	3.74483970782783e-05	7.87126781537761e-05
"FBgn0000115"	179.946284887575	-1.96764016099475	0.181427396459228	-10.8453309665221	2.0987486675095e-27	1.01875573304989e-26
"FBgn0000116"	10425.3938545951	-0.0094706834415053	0.0775990490771849	-0.122046385286051	0.902862282678198	0.917192866574763
"FBgn0000117"	7695.97075644944	0.0267350730680972	0.078944121828118	0.338658185676021	0.73486724407455	0.774276301183253
"FBgn0000119"	643.250882867251	-0.751589767706478	0.161293230465143	-4.65977254928193	3.16558986611171e-06	7.206226284919e-06
"FBgn0000120"	4.27754772385511	4.16962843674578	1.30655931706474	3.19130435356973	0.0014163199739449	0.00254407333444523
"FBgn0000121"	0.236764907736898	2.01340528134052	4.0804728567969	0.493424500542078	0.621712674241934	NA
"FBgn0000137"	492.453933206859	-7.19983926205639	0.409807476452589	-17.5688333565318	4.26860411829395e-69	3.90755438324575e-68
"FBgn0000139"	175.583083632168	-3.49870926900752	0.231874573212631	-15.0888009001279	1.91898080310402e-51	1.40965732679145e-50
"FBgn0000140"	241.447240742538	-5.19504588271749	0.319371444983951	-16.2664695429441	1.70721480651863e-59	1.41025653540781e-58
"FBgn0000146"	12.2898228444238	-4.01531391992305	0.942279669378373	-4.26127619050932	2.03262846851318e-05	4.36282367707433e-05
"FBgn0000147"	214.054836330048	0.732467909584804	0.226394611481167	3.23535929054449	0.00121489749334106	0.00219954571444345
"FBgn0000150"	755.708267309982	-3.19967463827365	0.136670857112431	-23.4115356110006	3.26075888361882e-121	5.16102735231981e-120
"FBgn0000152"	37.9714840633457	-0.723473067403608	0.33539977917962	-2.15704694014172	0.0310020072113466	0.0462362713711271
"FBgn0000153"	2.6335529621138	-0.271284326732282	1.24927544254618	-0.217153333438919	0.82808885138916	0.854461754556793
"FBgn0000157"	385.909951414646	0.387362007062693	0.166114899540752	2.33189201049159	0.0197063728942651	0.0304200502003256
"FBgn0000158"	12.6566907214427	-6.59059216656981	1.25586547410336	-5.24784883609864	1.53885480240139e-07	3.80185576124316e-07
"FBgn0000163"	354.112254784447	-4.62767933011479	0.258742605972746	-17.8852621226295	1.53629018626395e-71	1.44448911914074e-70
"FBgn0000166"	0.130189703970013	0.0898519296980286	4.0804728567969	0.0220199797551308	0.982432017861418	NA
"FBgn0000173"	1413.80862436647	-0.245169589079523	0.0899319539326475	-2.7261677119029	0.00640744321534075	0.0106496740233942
"FBgn0000179"	3214.33792438777	-1.38826678365068	0.130932351678301	-10.6029317113438	2.8878280511013e-26	1.36660009093728e-25
"FBgn0000180"	296.599447458218	-0.766013133179903	0.151395895489961	-5.0596690927509	4.19984691789207e-07	1.0117855823041e-06
"FBgn0000181"	4605.12416409243	-0.756160575955856	0.0921800584211614	-8.20308197789412	2.34301307856636e-16	8.38227748180848e-16
"FBgn0000182"	0.71537003387638	3.4970472019616	2.52787674438706	1.38339308264396	0.166544370417933	NA
"FBgn0000183"	2061.93621226244	2.31780459129574	0.115336166729651	20.0960779000806	7.98614255354399e-90	9.46274245015847e-89
"FBgn0000206"	0.471794415475627	2.90045984526679	2.92110464747173	0.992932535908015	0.320742832783359	NA
"FBgn0000212"	2768.13667625951	-2.69692950160641	0.0998616637960965	-27.0066549973889	1.23450087343288e-160	2.80490082173005e-159
"FBgn0000216"	40.0321571683143	-5.03299470495864	0.704120828249563	-7.14791340212248	8.8106861941579e-13	2.79399364203644e-12
"FBgn0000221"	17.7459267659728	-2.53770817729624	0.606203502344237	-4.18623146762221	2.83624121444474e-05	6.03108118948113e-05
"FBgn0000227"	0	NA	NA	NA	NA	NA
"FBgn0000228"	842.564569612679	0.67982780463092	0.102755815896322	6.61595451995488	3.69161861412893e-11	1.10082755954616e-10
"FBgn0000229"	1429.50275409866	0.864344388666349	0.0992469506626623	8.70902715796511	3.06493845197849e-18	1.17012055216386e-17
"FBgn0000233"	115.546890259963	-3.92747078109771	0.312247567012843	-12.5780668802975	2.78768163979278e-36	1.63532830692429e-35
"FBgn0000239"	607.104766576957	-0.510244432312343	0.118723576165127	-4.29775154012095	1.72539409038959e-05	3.72121418611619e-05
"FBgn0000241"	2.66876449598028	-3.23490107224965	1.55142925677705	-2.08511026727049	0.0370592924976448	0.0544613997637343
"FBgn0000244"	19.4734850637985	-0.652405443423645	0.506058602460233	-1.28918951333292	0.19733220984128	0.248445320895529
"FBgn0000246"	65.2313217477029	-0.132726361258902	0.255228990370023	-0.520028547957971	0.603043677742408	0.656826837407283
"FBgn0000247"	1402.80757309015	0.501940800003055	0.0881887010434918	5.69166791282609	1.25804354023806e-08	3.30567088678202e-08
"FBgn0000250"	881.431802561341	0.620304296679571	0.109730825463193	5.65296300343277	1.57705261461975e-08	4.11473281119653e-08
"FBgn0000251"	4.0995222609118	-0.20172073292637	0.988272431526865	-0.204114499697937	0.838264023740701	0.863244869982878
"FBgn0000253"	81400.1868397456	4.50704919369743	0.157793606830433	28.5629391724391	1.94033603094338e-179	5.07367185512128e-178
"FBgn0000256"	902.286469817445	5.20921533243682	0.150003984613038	34.727179720425	3.06429455559689e-264	1.47017739236606e-262
"FBgn0000257"	197.62961695152	0.0400374615828015	0.162670317337329	0.246126412231531	0.805584377839205	0.835274028812151
"FBgn0000259"	3749.73384509544	-1.34452018207242	0.163136139730057	-8.24170649309959	1.69771620569378e-16	6.10825445684332e-16
"FBgn0000261"	394.629471235573	-3.41835325274619	0.164451635667117	-20.7863742970949	5.74942870534785e-96	7.22679652589162e-95
"FBgn0000273"	14713.9710489902	1.93121430011808	0.105616735734221	18.2851163377921	1.08731297716857e-74	1.06133992421713e-73
